Comment,polarity,severity,reasons,quoted_spans,brief
here in nz 50 of retailers don’t even have contactless credit card machines like paywave which support apple pay they don’t like the high fees that come with these,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
whenever i go to a place that doesn’t take apple pay doesn’t happen too often it’s such a drag between ‘contactless covid’ habits and my getting the apple card i’ve gotten so used to apple pay that i get seriously annoyed when a store doesn’t take it it feels like a shock it’s crazy how quickly it took over my shopping routine i’ve officially been brainwashed by apple because now it feels so inconvenient to even carry a physical card in my pocket,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
holy crap i was looking at chroma systems back when i was designing power supplies looks like you guys went all out re the multimeter most oscilloscopes are terrible for making accurate voltage measurements 810 bit adcs they are just for looking at the waveforms,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
how does every person wired brings on this show act like theyve been in front of cameras 5000 times,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
his face when describing hops killed me “some of them smell pretty… dank “,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
whenever we get people young enough to actually understand the internet these giant tech companies might be broken up but as long as we have 90 year old senators asking tech ceos how the internet works nothing will get done,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
back in 2018 when john oliver did the episode on corporate consolidation it inspired me so much that i applied for a masters of research program got into a program and did my entire research thesis on tech oligopolies it was shocking to see how bad it really is oligopolies that bordered in monopolies are rampant my research essentially focused on the question of whether lack of enforcement of our antitrust laws caused this whole problem or whether lack of adequate laws were the core of the issue the answer was that it was truly both i thoroughly enjoyed my predoctoral masters thesis and am considering a phd in the future its so lovely to see john talk about this specifically on the tech sector edit wow thanks everyone for the great comments i havent published it yet otherwise i would share it with all you lovely people  i am now looking for a policy or qualitative researchanalyst job so if anyone is hiring let me know ,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
hey something that might interest you a couple of days ago my amazon account was closed with no warning for after hours of wasted time theyre telling me its for excessive returns which i think is an error but thats beside the point when they closed my amazon account all my amazon devices that i own for years primarily all my echo devices stopped working i lost access to the amazon photos and prime video which i pay for so apparently the devices you already own are subject to be disabled by amazon on your perceived shopping habits i assume the same applies to all other amazon devices and services like fire os tablets ring cameras and probably aws as well just wanted to make other people aware of this because they definitely dont tell you this when you buy your hardware and services,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
the fact he didnt buy the nicholas cage spoon is outrageous,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
as somebody with a comp sci degree and a decent amount of irl experience i will say edge computing is problematic at its core because client side workload like this is a huge security breach this is why even online video games avoid client side scripting it is a huge vector for exploit it is always interesting to watch a video like this because you are blown away when you listen regarding these other technologies you may not know allot about but when they cover a technology you know about you realize you must question the quality of the info in the other cases where you cannot determine the quality yourself,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i was totally shocked that fusion power generation wasnt included possibly as big a leap as quantum computing in its impact on humanity,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i wish that when people talked about types of skin damage theyd acknowledge what that looks like for people with darker skin we dont get red rashes after sunburn even my darkest bruises are often difficult to spot because of hyperpigmentation the stages of healing for cuts looks vastly different because we dont see the same change in colors around the wound sight not to mention when you look for images to identify clinical signs 99 of those images are of lighter skin and only marginally helpful to us looking to identify potentially serious medical issues,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
my son had botox injections in his legs for years to relax his muscles enough so he could wear splits he has cerebral palsy its crazy knowing that this life changing treatment is also the most dangerous poison,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
my mom wouldve gone nuts for you while i was growing up lol her big parent fear was toxic chemicals and me getting poisoned so she was always lecturing me about stuff under the sink and making sure i didnt touch the pesticides for the farm once she figured out she could call pbs and theyd send her mr yuck stickers the house and barn were covered in them,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
my husband got sun poisoning last year all the symptoms you described it was not fun he said his sick were he got burned felt tight for a few months after luckily he is a nurse and he was able to give me advice on how to help him in his recovery,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
imagine losing the cursor on that screen and trying to find it ,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
one really important point those ionizers can produce potentially dangerous levels of ozone due to the negative ions they create in the air id be cautious of all air ionizers unless they are advertised specifically as bipolar ionizers the one that you recommended does produce ozone which can be very harmful,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
