cluster,term,score
0,you,0.04442892685286449
0,love,0.030663156058469986
0,and,0.023651873760323367
0,your,0.023365156924913373
0,to,0.022964962152512126
0,thank,0.02234734007398597
0,the,0.021446857327848005
0,thank you,0.020893963945584574
0,this,0.020756887055006668
0,so,0.019773623200607767
1,video,0.061596244390609886
1,videos,0.04758264095745865
1,you,0.033873431820706734
1,the,0.0323871049992806
1,this,0.028961046707425303
1,your,0.028692511890885102
1,love,0.027793315304416772
1,and,0.02557003889228808
1,this video,0.023931902722833555
1,to,0.021102593180338747
2,nan,0.0737018425460637
2,anh,0.019819713050886038
2,ko,0.013792697188449601
2,abi,0.012525731565540045
2,hai,0.01240084247566061
2,na,0.01199219707944922
2,çok,0.010182380611059427
2,po,0.009822937995741937
2,sa,0.009452684912323915
2,bhai,0.009343041567956012
3,cube,0.03709792838099445
3,the,0.03546227300873835
3,it,0.021558489687329922
3,you,0.020960311001904965
3,to,0.02063716394174863
3,is,0.018504177700847918
3,that,0.01786872973921411
3,in,0.017325494174286093
3,and,0.017186038719920162
3,of,0.016761673138312245
4,the,0.037467929614822024
4,this,0.02484054710264042
4,movie,0.02423541690447318
4,was,0.02060953096178533
4,and,0.019944526408896456
4,love,0.019293989843779176
4,to,0.019037026393262484
4,it,0.018266302847434426
4,is,0.016888270459257025
4,of,0.015620951952535305
5,the,0.03680389142755596
5,to,0.03458440761753343
5,and,0.025437805462772613
5,of,0.02383387064084456
5,is,0.02349481477647942
5,in,0.021079087710170908
5,that,0.02095907519452899
5,they,0.019678751168594744
5,you,0.018290802652686528
5,are,0.017965371533019567
6,channel,0.03518029485033973
6,the,0.03409108652316224
6,and,0.03272907803906494
6,to,0.030791178539429063
6,you,0.030714962657588576
6,this,0.029853328894569823
6,of,0.026672970240488026
6,video,0.023933927098046242
6,for,0.023515927996217347
6,your,0.021924863590820576
7,de,0.07691755797655139
7,que,0.06409678586119832
7,la,0.0319432560728868
7,se,0.027372179819447923
7,el,0.02584310862067385
7,en,0.024784096895719032
7,los,0.02271974047002486
7,muito,0.021100596464167065
7,es,0.019418097997430248
7,no,0.018856803253317678
8,the,0.03769699342200596
8,to,0.0342720854095347
8,and,0.02841854505992547
8,is,0.02671615834720446
8,of,0.02601236020281777
8,in,0.02529229996718616
8,market,0.023936676572645164
8,it,0.020501414706432873
8,are,0.020409611111707793
8,crypto,0.019816465421022455
9,the,0.03376592551123983
9,to,0.0286826704859453
9,of,0.028175018313315113
9,and,0.025678598320639363
9,in,0.02413408079504798
9,is,0.023618779108682982
9,physics,0.02292525396072937
9,you,0.02263881171678698
9,this,0.022332556492626457
9,it,0.019627165957216117
10,song,0.0692037533841636
10,this song,0.051373483114378005
10,this,0.04896844560507263
10,music,0.04091283335999581
10,the,0.03012913492381868
10,love,0.028218055605558384
10,it,0.02270137565144478
10,and,0.022629502932226032
10,to,0.02248368328331518
10,is,0.01982531774343366
11,the,0.042405264270332026
11,game,0.03462805123653278
11,and,0.02767271761145248
11,to,0.02762635756188605
11,it,0.026573455910262413
11,of,0.025941471477516395
11,this,0.0246260639886842
11,is,0.021508281890207197
11,in,0.019463347728041966
11,for,0.01888809812135375
12,food,0.044152423895132124
12,the,0.034401483738953124
12,delicious,0.026379368676171015
12,and,0.025363591730657113
12,to,0.02351920180706378
12,is,0.022482074887174845
12,it,0.021796410691056752
12,looks,0.020743341393921633
12,so,0.018508761180589882
12,that,0.018309692975281084
13,to,0.037167353226437154
13,and,0.03293943190148379
13,computer,0.032583631643358445
13,in,0.02965407403675352
13,you,0.027989151607646392
13,my,0.027451213831011387
13,the,0.02706700056727774
13,computer science,0.026242547042430953
13,cs,0.02506188225018492
13,of,0.025019594539621392
14,the,0.0381726293364988
14,he,0.03715293644762263
14,to,0.025599667790883032
14,his,0.0234623189498573
14,is,0.021882587504702056
14,in,0.020484167436144677
14,and,0.0199208384250159
14,was,0.019818148009414813
14,that,0.019530881226023512
14,of,0.019306176758235663
15,you,0.050807881428366335
15,thank,0.048963026829320244
15,thank you,0.04833596932247805
15,this,0.03909596295787673
15,for,0.03707482253279256
15,and,0.03205993435422987
15,the,0.030177794038949646
15,to,0.02810142570687304
15,thanks,0.026659617401923675
15,so,0.02493016808808728
16,to,0.03347584255403571
16,and,0.031366660893075736
16,the,0.031293485885457197
16,you,0.029750992853260366
16,for,0.025532309354613092
16,of,0.02381504237967933
16,in,0.023086421260158398
16,is,0.021860605426984175
16,it,0.01933516909425616
16,interview,0.019130862717797303
17,the,0.04168960022955572
17,of,0.028875114556421097
17,to,0.0287806308206181
17,and,0.027077860809646703
17,in,0.026241512647536405
17,that,0.02607303724307965
17,it,0.02207767953537475
17,is,0.020414010448436132
17,they,0.019139723483138544
17,was,0.01882734160256356
18,the,0.04674015807961685
18,to,0.031016695690877373
18,and,0.0301007124544889
18,it,0.027876436397913214
18,for,0.02725007860766642
18,apple,0.02557393169014618
18,is,0.024625136818490094
18,that,0.022583859155901668
18,with,0.02085713637233358
18,of,0.02046018984651223
19,ukraine,0.015825558315932027
19,und,0.01574077236098074
19,спасибо,0.015606269354691922
19,очень,0.014008985359647945
19,за,0.012194563790734806
19,eine,0.009559172307998534
19,die,0.00952793049912204
19,jest,0.009355180489622132
19,видео,0.00935395770137409
19,спасибо за,0.009251844368153267
20,the,0.02609393576983593
20,to,0.02273082165912204
20,nice,0.020712210483395322
20,for,0.018739551861394286
20,you,0.01852812871274976
20,this,0.015022305025356992
20,and,0.013627489348371522
20,is,0.013175225524470775
20,game,0.012259197737727476
20,it,0.012196747350638058
21,he,0.05496138553441324
21,his,0.03766022068174828
21,is,0.029881465279614987
21,the,0.02677727138139703
21,and,0.025942730636264257
21,to,0.025083509256847058
21,this,0.023200855625852168
21,him,0.021607241865044622
21,of,0.019710255598389886
21,man,0.01596571604753922
22,data,0.11542379778437256
22,data science,0.062411758483971534
22,science,0.057833929196255345
22,to,0.037046488221101
22,and,0.03404396646555104
22,the,0.032835897776526984
22,scientist,0.032153904085471294
22,in,0.03215087964311499
22,data scientist,0.031118008266001727
22,you,0.029479661154150672
23,sat,0.07096900317906794
23,the,0.032957742798796555
23,you,0.03141611323576692
23,my,0.03103766049882456
23,the sat,0.03043947195687731
23,and,0.029287162049696697
23,to,0.027259325350488663
23,test,0.027022804436704486
23,for,0.026629522931106157
23,this,0.0258767808898199
24,she,0.07966234323827208
24,her,0.07084885485982714
24,the,0.031139447457278032
24,and,0.024457957291406315
24,is,0.023908386865391658
24,to,0.023646242569322903
24,so,0.022505032787700503
24,that,0.020066466151880274
24,love,0.020015350864026525
24,of,0.019404958345399573
