orig_index,Comment,clean_text,dup_near_group,near_duplicate_of
20,linus just turn the key lights 180 and bounce them off the walls you’ll get a much softer glow and shadow and way more even lighting it’s such a simple fix i’m not sure where along the lines people got the idea to beam the lights directly at your face ,linus just turn the key lights 180 and bounce them off the walls you’ll get a much softer glow and shadow and way more even lighting it’s such a simple fix i’m not sure where along the lines people got the idea to beam the lights directly at your face,1,20
21,dan continues to be my new favorite he has such an air of confidence about him and a comforting presence like dan shows up and you just know things are going to be fine,dan continues to be my new favorite he has such an air of confidence about him and a comforting presence like dan shows up and you just know things are going to be fine,2,21
22,dan managing to set up his soldering station on the one box they needed was incredibly amusing to me,dan managing to set up his soldering station on the one box they needed was incredibly amusing to me,3,22
23,linus gets on his employees cases for all the stuff stolen from the office also linus proudly talks about all the stuff stolen from work hes using in his upgraded setup linus why are you using this monitor as a table also linus uses the monitor as a chair this video was hilarious,linus gets on his employees cases for all the stuff stolen from the office also linus proudly talks about all the stuff stolen from work hes using in his upgraded setup linus why are you using this monitor as a table also linus uses the monitor as a chair this video was hilarious,4,23
24,linus this is not a table also linus lets use this as a chair,linus this is not a table also linus lets use this as a chair,5,24
25,dan the man saving the day riley needs to give him his own theme like brian the electrician,dan the man saving the day riley needs to give him his own theme like brian the electrician,6,25
26,dan continues to be a favourite for me hes like the incredibly patient but longsuffering dad who just gets on with things,dan continues to be a favourite for me hes like the incredibly patient but longsuffering dad who just gets on with things,7,26
27,dan is a treasure your channel has long lacked a mr fixit type and while i am sad its not me dan appears quite capable and funny,dan is a treasure your channel has long lacked a mr fixit type and while i am sad its not me dan appears quite capable and funny,8,27
28,blows my mind how quickly dan became the rock upon which all things linus standslove it,blows my mind how quickly dan became the rock upon which all things linus standslove it,9,28
29,hey linus a good trick for streaming lights bounce them off the wall much easier on the eyes and a nice softer look also for indoors id recommend a hypercardioid mic looks like a short shotgun like the audiotechnica at4053b,hey linus a good trick for streaming lights bounce them off the wall much easier on the eyes and a nice softer look also for indoors id recommend a hypercardioid mic looks like a short shotgun like the audiotechnica at4053b,10,29
31,one of the best things about dude is that he never takes credit for himself wheb he achieves something he always respect us the audience and his team and he is always polite is all of his videos we congratulate ourselves on this achievement more to come and everything to,one of the best things about dude is that he never takes credit for himself wheb he achieves something he always respect us the audience and his team and he is always polite is all of his videos we congratulate ourselves on this achievement more to come and everything to,11,31
167,cool ,cool,12,167
171,from all the stuff mentioned i have the dji mic amazing recording device,from all the stuff mentioned i have the dji mic amazing recording device,13,171
173,from all the stuff mentioned i have the dji mic amazing recording device,from all the stuff mentioned i have the dji mic amazing recording device,13,171
278,awesome,awesome,14,278
381,the market cycle still hasnt met its balance we keep going round in circles while waiting for that huge blow out on a huge support but in the mean time we could always ignore the market ups and downs and stay fully invested big thanks to lily alice for helping me earn over 14 btc by implementing her method and following her guide,the market cycle still hasnt met its balance we keep going round in circles while waiting for that huge blow out on a huge support but in the mean time we could always ignore the market ups and downs and stay fully invested big thanks to lily alice for helping me earn over 14 btc by implementing her method and following her guide,15,381
496,happy independence day to ukraine and glory  the reason why i support ukraine because i’m human and i support human rights and if ukraine surrenders there will be no more ukraine and it won’t save lives it will only end up in a brutal occupation like bucha irpin and mariupol massacre the main goal of russia is that they want to destroy ukraine as a nation just like rome destroyed carthage russians don’t treat ukrainians as people,happy independence day to ukraine and glory the reason why i support ukraine because i’m human and i support human rights and if ukraine surrenders there will be no more ukraine and it won’t save lives it will only end up in a brutal occupation like bucha irpin and mariupol massacre the main goal of russia is that they want to destroy ukraine as a nation just like rome destroyed carthage russians don’t treat ukrainians as people,16,496
518,happy independence day to ukraine and glory  the reason why i support ukraine because i’m human and i support human rights and if ukraine surrenders there will be no more ukraine and it won’t save lives it will only end up in a brutal occupation like bucha irpin and mariupol massacre the main goal of russia is that they want to destroy ukraine as a nation just like rome destroyed carthage russians don’t treat ukrainians as people,happy independence day to ukraine and glory the reason why i support ukraine because i’m human and i support human rights and if ukraine surrenders there will be no more ukraine and it won’t save lives it will only end up in a brutal occupation like bucha irpin and mariupol massacre the main goal of russia is that they want to destroy ukraine as a nation just like rome destroyed carthage russians don’t treat ukrainians as people,16,496
602,,nan,17,602
609,assim diz o senhor dos exércitos o filho honra o pai e o servo ao seu senhor se eu sou pai onde está a minha honra e se eu sou senhor onde está o respeito para comigo malaquias 16 arrependase dos seus pecados receba a jesus cristo como seu único e suficiente senhor e salvador em breve ele virá jesus te ama muito,assim diz o senhor dos exércitos o filho honra o pai e o servo ao seu senhor se eu sou pai onde está a minha honra e se eu sou senhor onde está o respeito para comigo malaquias 16 arrependase dos seus pecados receba a jesus cristo como seu único e suficiente senhor e salvador em breve ele virá jesus te ama muito,18,609
716,,nan,17,602
812,,nan,17,602
847,linus just turn the key lights 180 and bounce them off the walls you’ll get a much softer glow and shadow and way more even lighting it’s such a simple fix i’m not sure where along the lines people got the idea to beam the lights directly at your face ,linus just turn the key lights 180 and bounce them off the walls you’ll get a much softer glow and shadow and way more even lighting it’s such a simple fix i’m not sure where along the lines people got the idea to beam the lights directly at your face,1,20
848,dan continues to be my new favorite he has such an air of confidence about him and a comforting presence like dan shows up and you just know things are going to be fine,dan continues to be my new favorite he has such an air of confidence about him and a comforting presence like dan shows up and you just know things are going to be fine,2,21
849,dan managing to set up his soldering station on the one box they needed was incredibly amusing to me,dan managing to set up his soldering station on the one box they needed was incredibly amusing to me,3,22
850,linus gets on his employees cases for all the stuff stolen from the office also linus proudly talks about all the stuff stolen from work hes using in his upgraded setup linus why are you using this monitor as a table also linus uses the monitor as a chair this video was hilarious,linus gets on his employees cases for all the stuff stolen from the office also linus proudly talks about all the stuff stolen from work hes using in his upgraded setup linus why are you using this monitor as a table also linus uses the monitor as a chair this video was hilarious,4,23
851,linus this is not a table also linus lets use this as a chair,linus this is not a table also linus lets use this as a chair,5,24
852,dan the man saving the day riley needs to give him his own theme like brian the electrician,dan the man saving the day riley needs to give him his own theme like brian the electrician,6,25
853,dan continues to be a favourite for me hes like the incredibly patient but longsuffering dad who just gets on with things,dan continues to be a favourite for me hes like the incredibly patient but longsuffering dad who just gets on with things,7,26
854,dan is a treasure your channel has long lacked a mr fixit type and while i am sad its not me dan appears quite capable and funny,dan is a treasure your channel has long lacked a mr fixit type and while i am sad its not me dan appears quite capable and funny,8,27
855,blows my mind how quickly dan became the rock upon which all things linus standslove it,blows my mind how quickly dan became the rock upon which all things linus standslove it,9,28
856,hey linus a good trick for streaming lights bounce them off the wall much easier on the eyes and a nice softer look also for indoors id recommend a hypercardioid mic looks like a short shotgun like the audiotechnica at4053b,hey linus a good trick for streaming lights bounce them off the wall much easier on the eyes and a nice softer look also for indoors id recommend a hypercardioid mic looks like a short shotgun like the audiotechnica at4053b,10,29
858,let’s all appreciate the effort he makes in his videos just so we don’t miss anything and to keep us happy  ,let’s all appreciate the effort he makes in his videos just so we don’t miss anything and to keep us happy,19,858
859,let’s all appreciate the effort he makes in his videos just so we don’t miss anything and to keep us happy  ,let’s all appreciate the effort he makes in his videos just so we don’t miss anything and to keep us happy,19,858
861,lets take the moment to appreciate how much effort and time he puts into his content for us  ,lets take the moment to appreciate how much effort and time he puts into his content for us,20,861
863,2610 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,2610 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,21,863
864,3135 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,3135 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,22,864
865,1957 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,1957 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,21,863
877,i respect to everyone who were involved in this seriously the best piece that i ve ever seen on youtube hats off to well all love your videos ,i respect to everyone who were involved in this seriously the best piece that i ve ever seen on youtube hats off to well all love your videos,23,877
878,i respect every one who were involved in this seriously the best piece that ive ever seen on youtube hats off to well all love your videos ,i respect every one who were involved in this seriously the best piece that ive ever seen on youtube hats off to well all love your videos,24,878
879,one of the best thing about dude is that he never takes credit for himself when he achieves something he always request us the audience and his team and he is always polite in all of his videos we congratulations ourselves on this achievement more to come and everything to come,one of the best thing about dude is that he never takes credit for himself when he achieves something he always request us the audience and his team and he is always polite in all of his videos we congratulations ourselves on this achievement more to come and everything to come,25,879
880,lets take the moment to appreciate how much effort he puts into the content for us ,lets take the moment to appreciate how much effort he puts into the content for us,26,880
881,one of the best thing about dude is that he never takes credit for himself when he achieves something he always request us the audience and his team and he is always polite in all of his videos we congratulations ourselves on this achievement more to come and everything to come,one of the best thing about dude is that he never takes credit for himself when he achieves something he always request us the audience and his team and he is always polite in all of his videos we congratulations ourselves on this achievement more to come and everything to come,25,879
882,one of the best thing about dude is that he never takes credit for himself when he achieves something he always request us the audience and his team and he is always polite in all of his videos we congratulations ourselves on this achievement more to come and everything to come,one of the best thing about dude is that he never takes credit for himself when he achieves something he always request us the audience and his team and he is always polite in all of his videos we congratulations ourselves on this achievement more to come and everything to come,25,879
883,one of the best thing about dude is that he never takes credit for himself when he achieves something he always request us the audience and his team and he is always polite in all of his videos we congratulations ourselves on this achievement more to come and everything to come,one of the best thing about dude is that he never takes credit for himself when he achieves something he always request us the audience and his team and he is always polite in all of his videos we congratulations ourselves on this achievement more to come and everything to come,25,879
884,one of the best thing about dude is that he never takes credit for himself when he achieves something he always request us the audience and his team and he is always polite in all of his videos we congratulations ourselves on this achievement more to come and everything to come,one of the best thing about dude is that he never takes credit for himself when he achieves something he always request us the audience and his team and he is always polite in all of his videos we congratulations ourselves on this achievement more to come and everything to come,25,879
895,ilets all appreciate the amount of effort this man puts in his videos amazing keep grinding bro i love the videos,ilets all appreciate the amount of effort this man puts in his videos amazing keep grinding bro i love the videos,27,895
947,i love watching these normal things being turned into cool hidden forts keep up the great work must have snacks,i love watching these normal things being turned into cool hidden forts keep up the great work must have snacks,28,947
949,i love watching these normal things being turned into cool hidden forts keep up the great work must have snacks,i love watching these normal things being turned into cool hidden forts keep up the great work must have snacks,28,947
950,i love watching these normal things being turned into cool hidden forts keep up the great work must have snacks,i love watching these normal things being turned into cool hidden forts keep up the great work must have snacks,28,947
951,i love watching these normal things being turned into cool hidden forts keep up the great work must have snacks,i love watching these normal things being turned into cool hidden forts keep up the great work must have snacks,28,947
952,i love watching these normal things being turned into cool hidden forts keep up the great work must have snacks,i love watching these normal things being turned into cool hidden forts keep up the great work must have snacks,28,947
953,i love watching these normal things being turned into cool hidden forts keep up the great work must have snacks,i love watching these normal things being turned into cool hidden forts keep up the great work must have snacks,28,947
